Código,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
D61.8,1,1.0,1358250.0,1358250.0,0.0
D68.3,1,1.0,2391450.0,2391450.0,0.0
D68.9,1,1.0,1762950.0,1762950.0,0.0
D69.2,1,1.0,1762950.0,1762950.0,0.0
D69.4,1,1.0,1762950.0,1762950.0,0.0
D70,1,1.0,1906050.0,1906050.0,0.0
D72.8,1,1.0,744150.0,744150.0,0.0
D89.1,1,1.0,3012450.0,3012450.0,0.0
E04.0,1,1.0,1049100.0,1049100.0,0.0
E10.6,1,1.0,598500.0,598500.0,0.0
D39.7,1,1.0,1376118.191,1376118.191,0.0
D37.1,1,1.0,2585115.5154,2585115.5154,0.0
C62.9,1,1.0,1136250.0,1136250.0,0.0
D35.2,1,1.0,1654500.0,1654500.0,0.0
C71.0,1,1.0,1146150.0,1146150.0,0.0
C76.3,1,1.0,1554887.3658,1554887.3658,0.0
C77.0,1,1.0,9416848.2886,9416848.2886,0.0
C78.7,1,1.0,1987050.0,1987050.0,0.0
C91.0,1,1.0,6813900.0,6813900.0,0.0
C91.1,1,1.0,1784400.0,1784400.0,0.0
C91.7,1,1.0,1944458.5631,1944458.5631,0.0
C95.9,1,1.0,1284150.0,1284150.0,0.0
D02.2,1,1.0,9416848.2886,9416848.2886,0.0
D03.6,1,1.0,2052690.7603,2052690.7603,0.0
D05.0,1,1.0,1609893.2657,1609893.2657,0.0
D06.0,1,1.0,1036375.8678,1036375.8678,0.0
D12.4,1,1.0,2585115.5154,2585115.5154,0.0
D12.6,1,1.0,2585115.5154,2585115.5154,0.0
D16.8,1,1.0,5767045.0451,5767045.0451,0.0
D17.7,1,1.0,1554887.3658,1554887.3658,0.0
D18.0,1,1.0,712800.0,712800.0,0.0
D20.0,1,1.0,1554887.3658,1554887.3658,0.0
D21.6,1,1.0,1592744.3675,1592744.3675,0.0
D24,1,1.0,1650338.7804,1650338.7804,0.0
D28.2,1,1.0,1152535.3859,1152535.3859,0.0
I71.5,1,1.0,1465650.0,1465650.0,0.0
I73.0,1,1.0,2532600.0,2532600.0,0.0
P25.2,1,1.0,751800.0,751800.0,0.0
N36.2,1,1.0,1064525.946,1064525.946,0.0
N41.2,1,1.0,590250.0,590250.0,0.0
N43.3,1,1.0,943189.402,943189.402,0.0
N46,1,1.0,943189.402,943189.402,0.0
N48.3,1,1.0,590250.0,590250.0,0.0
N49.2,1,1.0,1607142.9708,1607142.9708,0.0
N51.1,1,1.0,590250.0,590250.0,0.0
N71.9,1,1.0,9416848.2886,9416848.2886,0.0
N73.5,1,1.0,1152535.3859,1152535.3859,0.0
N75.8,1,1.0,1243133.3388,1243133.3388,0.0
N76.0,1,1.0,711300.0,711300.0,0.0
N85.7,1,1.0,658950.0,658950.0,0.0
N87.1,1,1.0,1376118.191,1376118.191,0.0
N87.2,1,1.0,1152535.3859,1152535.3859,0.0
